"","file","Replicate","Resonance","Area","Name"
"177","13C-VANA-1","8","C1",647.712,"TopSpin"
"178","13C-VANA-1","8","C2",634.059,"TopSpin"
"179","13C-VANA-1","8","C3",632.644,"TopSpin"
"180","13C-VANA-1","8","C4",631.541,"TopSpin"
"181","13C-VANA-1","8","C5",636.609,"TopSpin"
"182","13C-VANA-1","8","C6",637.189,"TopSpin"
"183","13C-VANA-1","8","C7",637.48,"TopSpin"
"184","13C-VANA-1","8","C8",629.965,"TopSpin"
"185","13C-VANA-1","9","C1",649.64,"TopSpin"
"186","13C-VANA-1","9","C2",634.626,"TopSpin"
"187","13C-VANA-1","9","C3",634.188,"TopSpin"
"188","13C-VANA-1","9","C4",631.781,"TopSpin"
"189","13C-VANA-1","9","C5",637.263,"TopSpin"
"190","13C-VANA-1","9","C6",639.172,"TopSpin"
"191","13C-VANA-1","9","C7",637.939,"TopSpin"
"192","13C-VANA-1","9","C8",630.864,"TopSpin"
"193","13C-VANB-1","4","C1",655.049,"TopSpin"
"194","13C-VANB-1","4","C2",643.275,"TopSpin"
"195","13C-VANB-1","4","C3",641.829,"TopSpin"
"196","13C-VANB-1","4","C4",640.061,"TopSpin"
"197","13C-VANB-1","4","C5",648.431,"TopSpin"
"198","13C-VANB-1","4","C6",646.599,"TopSpin"
"199","13C-VANB-1","4","C7",648.178,"TopSpin"
"200","13C-VANB-1","4","C8",651.788,"TopSpin"
"201","13C-VANB-1","5","C1",654.631,"TopSpin"
"202","13C-VANB-1","5","C2",641.415,"TopSpin"
"203","13C-VANB-1","5","C3",639.841,"TopSpin"
"204","13C-VANB-1","5","C4",638.631,"TopSpin"
"205","13C-VANB-1","5","C5",647.762,"TopSpin"
"206","13C-VANB-1","5","C6",646.172,"TopSpin"
"207","13C-VANB-1","5","C7",647.016,"TopSpin"
"208","13C-VANB-1","5","C8",652.891,"TopSpin"
"209","13C-VANB-1","6","C1",651.908,"TopSpin"
"210","13C-VANB-1","6","C2",639.198,"TopSpin"
"211","13C-VANB-1","6","C3",638.489,"TopSpin"
"212","13C-VANB-1","6","C4",637.529,"TopSpin"
"213","13C-VANB-1","6","C5",646.748,"TopSpin"
"214","13C-VANB-1","6","C6",644.55,"TopSpin"
"215","13C-VANB-1","6","C7",644.217,"TopSpin"
"216","13C-VANB-1","6","C8",649.817,"TopSpin"
